SettlementPeriod,Imbalance_Ref,Imbalance_Today,Difference
1,575.6285714285714,-7933.728571428572,-8509.357142857143
2,117.40845070422536,-8405.845070422536,-8523.253521126762
3,403.19718309859155,-7508.180555555556,-7911.377738654147
4,990.0281690140845,-6462.027397260274,-7452.055566274358
5,1091.6805555555557,-5769.405405405405,-6861.085960960961
6,1118.3561643835617,-4954.96,-6073.316164383562
7,1589.7837837837837,-4462.105263157895,-6051.889046941678
8,1784.6666666666667,-4042.4805194805194,-5827.147186147186
9,2079.84,-3813.1153846153848,-5892.955384615385
10,1973.6184210526317,-3250.240506329114,-5223.858927381745
11,2162.0625,700.7352941176471,-1461.327205882353
12,1629.7272727272727,1378.142857142857,-251.58441558441564
13,1325.264705882353,1060.638888888889,-264.625816993464
14,740.1142857142858,1013.5405405405405,273.42625482625476
15,1427.9166666666667,708.2368421052631,-719.6798245614036
16,1631.918918918919,830.974358974359,-800.94455994456
17,2406.8684210526317,978.6,-1428.2684210526318
18,2073.948717948718,-22.463414634146343,-2096.412132582864
19,2058.230769230769,828.9756097560976,-1229.2551594746715
20,2037.925,601.952380952381,-1435.972619047619
21,2389.243902439024,322.0232558139535,-2067.220646625071
22,2282.1428571428573,444.09090909090907,-1838.0519480519483
23,2282.4418604651164,133.3181818181818,-2149.1236786469344
24,2306.568181818182,-91.8409090909091,-2398.409090909091
25,2299.8,-33.97727272727273,-2333.7772727272727
26,2321.511111111111,-60.34090909090909,-2381.85202020202
27,2414.9347826086955,721.2045454545455,-1693.73023715415
28,2720.744680851064,540.0,-2180.744680851064
29,2405.6875,80.04545454545455,-2325.6420454545455
30,2030.6938775510205,655.6590909090909,-1375.0347866419297
31,1333.9,1014.7272727272727,-319.17272727272734
32,803.6274509803922,540.3181818181819,-263.3092691622103
33,640.4807692307693,203.0681818181818,-437.41258741258747
34,-19.18867924528302,-1085.1363636363637,-1065.9476843910807
35,497.0925925925926,-1572.7272727272727,-2069.819865319865
36,372.85185185185185,-1335.659090909091,-1708.5109427609427
37,144.1818181818182,-1131.590909090909,-1275.7727272727273
38,1111.5357142857142,-911.7045454545455,-2023.2402597402597
39,901.1052631578947,-360.20454545454544,-1261.30980861244
40,1345.396551724138,495.20454545454544,-850.1920062695924
41,1086.3559322033898,279.70454545454544,-806.6513867488443
42,571.5333333333333,14.0,-557.5333333333333
43,746.0,-219.22727272727272,-965.2272727272727
44,937.4677419354839,-257.1818181818182,-1194.6495601173021
45,184.33333333333334,-965.75,-1150.0833333333333
46,803.90625,-77.95454545454545,-881.8607954545455
47,-1090.4558823529412,-5728.735294117647,-4638.279411764705
48,52.65217391304348,-8187.913043478261,-8240.565217391304
