SettlementPeriod,ForecastWind,ActualWind,Difference
1,19937.808,18396.415999999997,-1541.3920000000035
2,19937.808,18444.385000000002,-1493.4229999999989
3,18922.966,18117.914,-805.0519999999997
4,18922.966,18191.326,-731.6399999999994
5,18377.953,17414.872,-963.081000000002
6,18377.953,17325.959,-1051.9940000000024
7,17945.521,17070.996,-874.5250000000015
8,17945.521,16924.021,-1021.5
9,17804.868000000002,17033.714,-771.1540000000023
10,17804.868000000002,17087.728,-717.140000000003
11,17492.114,16902.806,-589.3080000000009
12,17492.114,16975.891,-516.2230000000018
13,17136.23,17281.988,145.75800000000163
14,17136.23,17433.362999999998,297.132999999998
15,33821.787,17335.97,-16485.816999999995
16,33821.787,17193.196,-16628.590999999997
17,33103.626000000004,17082.396,-16021.230000000003
18,33103.626000000004,16866.584000000003,-16237.042000000001
19,31626.447,16080.496,-15545.951000000001
20,31626.447,16044.937,-15581.51
21,29821.963000000003,15861.442,-13960.521000000004
22,29821.963000000003,15514.383,-14307.580000000004
23,43662.615999999995,15108.73,-28553.885999999995
24,43662.615999999995,14746.380000000001,-28916.235999999994
25,41480.961,14268.621000000001,-27212.340000000004
26,41480.961,13800.557,-27680.404000000002
27,39821.102,13533.314999999999,-26287.787
28,39821.102,12766.67,-27054.432
29,37952.852,11863.68,-26089.172
30,37952.852,11370.282,-26582.57
31,36293.925,10875.371,-25418.554000000004
32,36293.925,10758.08,-25535.845
33,35852.426999999996,10758.386,-25094.040999999997
34,35852.426999999996,10633.512,-25218.914999999994
35,36085.61,10349.458999999999,-25736.151
36,36085.61,10884.679,-25200.931
37,37216.871,11634.773000000001,-25582.097999999998
38,37216.871,11714.507,-25502.364
39,38923.027,11601.297999999999,-27321.729000000003
40,38923.027,11895.806999999999,-27027.22
41,40988.751000000004,13035.93,-27952.821000000004
42,40988.751000000004,13713.688999999998,-27275.062000000005
43,42913.311,14632.108,-28281.203
44,42913.311,14740.317,-28172.994000000002
45,44698.368,15336.339,-29362.029000000002
46,44698.368,15400.167,-29298.201
47,46366.349,16174.242,-30192.107000000004
48,46366.349,15692.413999999999,-30673.935000000005
